Authors,Pub.Year,Journal,Vol:p-p,StudyID,Species,Year/Year Span,Year,Population,Trait Name,Fitness Measure Defined,N,Grad.linear.value,Grad.linear.StErr,Diff.linear.value,Diff.linear.StErr,Mean.trait.value,Trait.StDev,trait.StErr,trait.Var
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of column,female fitness (fruit set),35,0.2,,0.189,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of sepal dorsal,female fitness (fruit set),29,0.058,,0.163,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of posterior petal lobe,female fitness (fruit set),29,-0.066,,0.113,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of posterior petal lobe,female fitness (fruit set),29,0.032,,0.086,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of anterior petal lobe,female fitness (fruit set),29,0.043,,0.131,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of anterior petal lobe,female fitness (fruit set),29,0.122,,0.218,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,front lip length,female fitness (fruit set),29,0.061,,0.077,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,frontlip width,female fitness (fruit set),29,0.182,,0.439,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,mid lobe length,female fitness (fruit set),26,-0.2,,-0.033,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),28,-0.204,,-0.068,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,distance between sepals,female fitness (fruit set),27,0.058,,0.04,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,flower size,female fitness (fruit set),33,0.17,,0.09,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of column,female fitness (fruit set),31,0.133,,0.029,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of sepal dorsal,female fitness (fruit set),32,-0.197,,0.035,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of posterior petal lobe,female fitness (fruit set),32,-0.019,,-0.007,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of posterior petal lobe,female fitness (fruit set),32,0.123,,0.044,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of anterior petal lobe,female fitness (fruit set),32,0.007,,0.061,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of anterior petal lobe,female fitness (fruit set),32,0.245,,0.102,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,front lip length,female fitness (fruit set),32,-0.133,,0.029,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,frontlip width,female fitness (fruit set),32,-0.025,,-0.007,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,mid lobe length,female fitness (fruit set),32,0.19,,0.085,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),32,0.008,,0.093,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,distance between sepals,female fitness (fruit set),32,0.01,,0.001,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,flower size,female fitness (fruit set),32,0.113,,0.044,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of column,female fitness (fruit set),21,0.135,,0.112,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of sepal dorsal,female fitness (fruit set),15,0.008,,0.031,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of posterior petal lobe,female fitness (fruit set),15,-0.213,,0.056,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of posterior petal lobe,female fitness (fruit set),15,-0.51,,0.036,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of anterior petal lobe,female fitness (fruit set),15,0.217,,-0.033,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of anterior petal lobe,female fitness (fruit set),15,0.633,,0.012,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,front lip length,female fitness (fruit set),15,0.131,,0.089,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,frontlip width,female fitness (fruit set),15,0.349,,0.047,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,mid lobe length,female fitness (fruit set),15,0.929,,-0.351,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),15,1.586,,0.441,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,distance between sepals,female fitness (fruit set),15,-0.066,,-0.007,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,flower size,female fitness (fruit set),21,-0.241,,0.009,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of column,female fitness (fruit set),30,0.001,,0.082,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of sepal dorsal,female fitness (fruit set),30,0.089,,-0.043,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of posterior petal lobe,female fitness (fruit set),30,0.095,,0.047,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of posterior petal lobe,female fitness (fruit set),30,-0.102,,0.032,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of anterior petal lobe,female fitness (fruit set),30,0.059,,0.037,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of anterior petal lobe,female fitness (fruit set),30,-0.082,,0.062,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,front lip length,female fitness (fruit set),30,-0.04,,0.006,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,frontlip width,female fitness (fruit set),30,-0.14,,-0.141,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,mid lobe length,female fitness (fruit set),28,0.011,,-0.025,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),30,0.167,,0.21,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,distance between sepals,female fitness (fruit set),30,-0.008,,0.019,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,flower size,female fitness (fruit set),32,-0.039,,0.008,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of column,female fitness (fruit set),25,0.004,,0.018,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of sepal dorsal,female fitness (fruit set),26,-0.11,,-0.037,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of posterior petal lobe,female fitness (fruit set),26,0.047,,0.021,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of posterior petal lobe,female fitness (fruit set),26,-0.063,,0.006,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of anterior petal lobe,female fitness (fruit set),26,-0.039,,0.017,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,width of anterior petal lobe,female fitness (fruit set),26,0.042,,-0.009,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,front lip length,female fitness (fruit set),25,-0.008,,0.013,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,frontlip width,female fitness (fruit set),25,0.166,,0.049,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,mid lobe length,female fitness (fruit set),25,-0.081,,-0.064,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),25,0.217,,0.003,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,distance between sepals,female fitness (fruit set),25,-0.008,,0.008,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 5,flower size,female fitness (fruit set),28,-0.018,,0.016,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of column,female fitness (fruit set),35,0.055,,0.106,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of sepal dorsal,female fitness (fruit set),34,-0.057,,-0.059,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of posterior petal lobe,female fitness (fruit set),33,-0.083,,-0.072,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of posterior petal lobe,female fitness (fruit set),34,-0.029,,-0.044,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of anterior petal lobe,female fitness (fruit set),34,-0.058,,-0.093,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,width of anterior petal lobe,female fitness (fruit set),34,0.045,,0.068,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,front lip length,female fitness (fruit set),34,-0.089,,0.115,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,frontlip width,female fitness (fruit set),34,0.152,,0.142,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,mid lobe length,female fitness (fruit set),32,0.139,,0.06,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),33,0.18,,-0.155,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,distance between sepals,female fitness (fruit set),34,0.011,,0.005,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 6,flower size,female fitness (fruit set),35,0.009,,0.004,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of column,female fitness (fruit set),23,-0.182,,-0.043,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of sepal dorsal,female fitness (fruit set),22,-0.085,,-0.027,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of posterior petal lobe,female fitness (fruit set),22,0.032,,-0.047,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of posterior petal lobe,female fitness (fruit set),22,0.325,,0.078,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of anterior petal lobe,female fitness (fruit set),22,-0.238,,-0.051,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,width of anterior petal lobe,female fitness (fruit set),22,-0.344,,-0.072,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,front lip length,female fitness (fruit set),21,0.089,,0.071,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,frontlip width,female fitness (fruit set),21,0.033,,0.05,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,mid lobe length,female fitness (fruit set),21,0.337,,0.098,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),21,1.104,,-0.002,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,distance between sepals,female fitness (fruit set),22,-0.016,,0.052,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 7,flower size,female fitness (fruit set),25,0.015,,-0.011,,,,,
