Body_Length,Breadth_of-Blood_Curpuscles
5.6,4.45
5.6,4.65
5.6,4.85
5.6,4.85
5.6,4.85
5.6,4.85
5.6,4.85
5.6,5.05
5.6,5.05
5.6,5.05
5.6,5.05
5.6,5.05
5.6,5.05
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.25
5.6,5.45
5.6,5.45
5.6,5.45
5.6,5.45
5.6,5.45
5.6,5.45
5.6,5.45
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.65
5.6,5.85
5.6,6.05
5.6,6.25
5.6,6.25
5.6,6.25
5.6,6.25
5.6,6.25
5.6,6.25
5.6,6.25
5.6,6.45
5.6,6.45
5.6,6.45
5.6,6.65
6.1,4.45
6.1,4.45
6.1,4.65
6.1,4.65
6.1,4.65
6.1,5.05
6.1,5.05
6.1,5.05
6.1,5.05
6.1,5.05
6.1,5.25
6.1,5.25
6.1,5.25
6.1,5.25
6.1,5.25
6.1,5.25
6.1,5.25
6.1,5.45
6.1,5.45
6.1,5.45
6.1,5.45
6.1,5.45
6.1,5.45
6.1,5.45
6.1,5.65
6.1,5.65
6.1,5.65
6.1,5.65
6.1,5.65
6.1,5.65
6.1,5.65
6.1,5.85
6.1,5.85
6.1,5.85
6.1,5.85
6.1,5.85
6.1,5.85
6.1,5.85
6.1,5.85
6.1,6.05
6.1,6.05
6.1,6.05
6.1,6.05
6.1,6.05
6.1,6.05
6.1,6.05
6.1,6.25
6.1,6.25
6.1,6.25
6.1,6.25
6.1,6.25
6.1,6.25
6.1,6.25
6.1,6.45
6.1,6.45
6.1,6.45
6.1,6.45
6.1,6.65
6.1,6.85
6.1,6.85
6.1,6.85
6.1,6.85
6.1,6.85
6.1,6.85
6.1,6.85
6.1,7.05
6.1,7.05
6.1,7.05
6.1,7.25
6.1,7.25
6.1,7.25
6.1,7.25
6.1,7.25
6.1,7.45
6.1,7.85
6.6,3.05
6.6,3.25
6.6,3.25
6.6,3.45
6.6,3.45
6.6,3.65
6.6,3.85
6.6,3.85
6.6,4.05
6.6,4.05
6.6,4.05
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.25
6.6,4.45
6.6,4.45
6.6,4.45
6.6,4.45
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.65
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,4.85
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.05
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.25
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.45
6.6,5.65
6.6,5.65
6.6,5.65
6.6,5.65
6.6,5.65
6.6,5.65
6.6,5.65
6.6,5.85
6.6,5.85
6.6,5.85
6.6,5.85
6.6,5.85
6.6,5.85
6.6,5.85
6.6,5.85
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.05
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.25
6.6,6.45
6.6,6.45
6.6,6.45
6.6,6.45
6.6,6.45
6.6,6.45
6.6,6.65
6.6,6.85
6.6,6.85
6.6,6.85
6.6,6.85
6.6,7.25
6.6,7.85
7.1,3.85
7.1,4.05
7.1,4.25
7.1,4.25
7.1,4.25
7.1,4.25
7.1,4.25
7.1,4.45
7.1,4.65
7.1,4.65
7.1,4.65
7.1,4.65
7.1,4.65
7.1,4.65
7.1,4.65
7.1,4.85
7.1,4.85
7.1,4.85
7.1,4.85
7.1,4.85
7.1,4.85
7.1,4.85
7.1,4.85
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.05
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.25
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.45
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.65
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.05
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.25
7.1,6.45
7.1,6.45
7.1,6.45
7.1,6.65
7.1,6.65
7.1,6.65
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,5.85
7.1,7.05
7.1,7.05
7.1,7.05
7.1,7.05
7.1,7.05
7.1,7.25
7.1,7.25
7.6,4.25
7.6,4.25
7.6,4.25
7.6,4.45
7.6,4.45
7.6,4.65
7.6,4.85
7.6,4.85
7.6,4.85
7.6,5.05
7.6,5.05
7.6,5.05
7.6,5.05
7.6,5.05
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.25
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.45
7.6,5.65
7.6,5.65
7.6,5.65
7.6,5.65
7.6,5.65
7.6,5.85
7.6,5.85
7.6,5.85
7.6,5.85
7.6,5.85
7.6,5.85
7.6,5.85
7.6,5.85
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.05
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.25
7.6,6.45
7.6,6.45
7.6,6.45
7.6,6.45
7.6,6.65
7.6,6.65
7.6,6.65
7.6,6.65
7.6,6.65
7.6,6.65
7.6,6.65
7.6,6.85
7.6,6.85
7.6,6.85
7.6,6.85
7.6,6.85
7.6,6.85
7.6,7.05
7.6,7.05
7.6,7.05
7.6,7.05
7.6,7.25
7.6,7.25
7.6,7.25
7.6,7.25
7.6,8.05
7.6,8.25
7.6,8.65
8.1,4.05
8.1,4.25
8.1,4.25
8.1,4.25
8.1,4.25
8.1,4.65
8.1,4.65
8.1,4.65
8.1,4.65
8.1,4.65
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,4.85
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.05
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.25
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.45
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.65
8.1,5.85
8.1,5.85
8.1,5.85
8.1,5.85
8.1,5.85
8.1,5.85
8.1,5.85
8.1,5.85
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.05
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.25
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.45
8.1,6.65
8.1,6.65
8.1,6.65
8.1,6.65
8.1,6.65
8.1,6.65
8.1,6.85
8.1,6.85
8.1,6.85
8.1,7.05
8.1,7.25
8.1,7.25
8.1,7.25
8.1,7.25
8.1,7.25
8.1,7.65
8.1,7.85
8.6,4.05
8.6,4.05
8.6,4.25
8.6,4.25
8.6,4.25
8.6,4.25
8.6,4.65
8.6,4.65
8.6,4.65
8.6,4.65
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,4.85
8.6,5.05
8.6,5.05
8.6,5.05
8.6,5.05
8.6,5.05
8.6,5.05
8.6,5.05
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.25
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.45
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.65
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,5.85
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.05
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.25
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.45
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.65
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,6.85
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.05
8.6,7.25
8.6,7.25
8.6,7.25
8.6,7.25
8.6,7.25
8.6,7.25
8.6,7.25
8.6,7.45
8.6,7.45
8.6,7.45
8.6,7.65
8.6,7.65
8.6,7.65
8.6,8.25
8.6,8.65
8.6,8.85
8.6,9.05
9.1,4.05
9.1,4.25
9.1,4.45
9.1,4.65
9.1,4.65
9.1,4.65
9.1,4.85
9.1,4.85
9.1,4.85
9.1,4.85
9.1,4.85
9.1,4.85
9.1,4.85
9.1,5.05
9.1,5.05
9.1,5.05
9.1,5.05
9.1,5.05
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.25
9.1,5.45
9.1,5.45
9.1,5.45
9.1,5.45
9.1,5.45
9.1,5.45
9.1,5.45
