Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,-10,7,11,20,30,37,44,36,27,16,13,4
2001,8,2,12,12,24,42,48,45,33,2,0,-15
2002,-11,-5,0,6,27,37,47,43,32,26,20,-2
2003,0,13,-1,16,33,42,47,45,28,22,-8,-14
2004,-18,1,-1,1,27,38,48,46,27,20,0,0
2005,-7,-8,16,20,33,38,50,42,39,16,-5,-1
2006,-11,-10,-1,19,28,40,46,44,32,17,-9,-2
2007,-17,-8,-3,16,33,39,48,45,35,21,16,-9
2008,-10,-15,13,15,31,38,40,42,29,8,5,-15
2009,-24,-10,-3,11,32,40,46,44,30,22,-8,-4
2010,-2,0,-5,21,32,42,46,45,25,21,4,-8
2011,-12,-4,1,22,29,42,47,43,32,15,-9,-1
2012,-15,6,0,22,28,41,46,42,30,12,1,-12
2013,-9,5,0,8,28,42,50,42,28,27,-8,-11
2014,10,0,5,17,34,40,48,42,32,16,14,13
2015,-5,0,-2,25,33,46,50,40,28,19,-8,4
2016,10,14,16,29,34,42,51,44,32,15,1,-8
2017,-15,-8,-8,26,32,42,45,46,36,19,1,5
2018,0,-2,7,20,32,41,47,44,40,20,14,10
2019,-7,0,8,27,35,47,51,45,32,26,11,-2